company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
Delek Logistics Partners Lp,Tennessee,DKL,New York,3.6,51.9,179.5,2012-11-02,6.07,21.0,168.0,Oil,1
Orthopediatrics Corp,Indiana,KIDS,Nasdaq,0.0,0.0,110.3,2017-10-12,5.56,13.0,52.0,Health,1
Concert Pharmaceuticals Inc.,Massachusetts,CNCE,Nasdaq,-10.6,0.0,10.6,2014-02-13,12.77,14.0,84.0,Health,1
Enphase Energy Inc.,California,ENPH,Nasdaq,0.0,0.8,788.0,2012-03-30,9.43,6.0,53.818,IT,1
Caredx Inc.,California,CDNA,Nasdaq,-22.6,0.0,49.1,2014-07-17,6.82,10.0,40.0,Health,1
Avianca Holdings SA,Michigan,AVH,New York,0.0,5.6,41.4,2013-11-06,8.69,15.0,408.524,Machinery,1
Cdw Corp,Illinois,CDW,Nasdaq,0.0,1738.8,1738.8,2013-06-27,8.89,17.0,395.25,IT,1
Aerohive Networks Inc.,California,HIVE,New York,0.0,0.4,50.1,2014-03-28,7.97,10.0,75.0,IT,1
Achaogen Inc.,California,AKAO,Nasdaq,-5.6,67.9,509.8,2014-03-12,8.52,12.0,72.0,Retail,1
Gaslog Ltd,South Carolina,GLOG,New York,33.3,402.7,436.0,2012-03-30,11.51,14.0,329.0,Machinery,1
Aduro Biotech Inc.,California,ADRO,Nasdaq,-17.3,0.4,45.3,2015-04-15,14.02,17.0,119.0,Health,1
Brightcove Inc.,Massachusetts,BCOV,Nasdaq,0.0,5.8,1234.8,2012-02-17,10.27,11.0,55.0,IT,1
Adamas Pharmaceuticals Inc.,California,ADMS,Nasdaq,0.0,0.0,20.2,2014-04-10,11.19,16.0,48.0,Health,1
Co-Diagnostics Inc.,Utah,CODX,Nasdaq,-21.4,6.7,238.8,2017-07-12,11.14,6.0,7.071,Health,1
Foresight Energy Lp,Missouri,FELP,New York,0.0,0.0,33.8,2014-06-18,9.13,20.0,350.0,Chemical,1
Trupanion Inc.,Washington,TRUP,New York,0.0,273.4,6407.8,2014-07-18,6.51,10.0,71.25,Finance,1
Tibet Pharmaceuticals Inc.,New York,TBET,Nasdaq,440.2,835.2,1275.3,2011-01-25,10.19,5.5,16.5,Health,1
Erytech Pharma SA,Wisconsin,ERYP,Nasdaq,-24.2,0.0,24.2,2017-11-10,4.66,23.26,108.999,Health,1
Ringcentral Inc.,California,RNG,New York,14.2,0.0,61.4,2013-09-27,9.04,13.0,97.5,IT,1
Proto Labs Inc.,Minnesota,PRLB,New York,0.0,0.0,51.8,2012-02-24,4.91,16.0,68.8,Machinery,1
Myovant Sciences Ltd,Rhode Island,MYOV,New York,0.0,2258.2,2258.2,2016-10-27,9.68,15.0,217.5,Health,1
Huazhu Group Ltd,Arizona,HTHT,Nasdaq,3.3,31.2,428.8,2010-03-26,8.97,12.25,110.25,Retail,1
Preferred Apartment Communities Inc.,Georgia,APTS,American,0.0,177.0,177.0,2011-04-01,14.66,10.0,45.0,Finance,1
Luther Burbank Corp,California,LBC,Nasdaq,131.5,49.7,14094.3,2017-12-08,11.47,10.75,130.613,Finance,1
Kornit Digital Ltd,Iowa,KRNT,Nasdaq,0.0,557.8,557.8,2015-04-02,4.95,10.0,71.0,Machinery,1
Marrone Bio Innovations Inc.,California,MBII,Nasdaq,0.0,0.0,16.6,2013-08-02,11.15,12.0,57.0,Chemical,1
Agile Therapeutics Inc.,New Jersey,AGRX,Nasdaq,-5.8,21.7,2014.0,2014-05-23,9.59,6.0,55.0,Health,1
Telenav Inc.,California,TNAV,Nasdaq,-1.9,438.7,1304.8,2010-05-13,2.06,8.0,56.0,IT,1
National Storage Affiliates Trust,Colorado,NSA,New York,0.0,0.0,928.9,2015-04-23,4.16,13.0,260.0,Finance,1
Bluebird Bio Inc.,Massachusetts,BLUE,Nasdaq,0.0,0.4,122.6,2013-06-19,13.1,17.0,101.0,Health,1
Shotspotter Inc.,California,SSTI,Nasdaq,0.0,0.3,0.7,2017-06-07,9.54,11.0,30.8,IT,1
Fabrinet,Rhode Island,FN,New York,0.0,1.1,50.4,2010-06-25,8.7,10.0,85.0,IT,1
Essent Group Ltd,Virginia,ESNT,New York,19.6,324.7,2283.8,2013-10-31,7.23,17.0,335.072,Finance,1
Milacron Holdings Corp,Ohio,MCRN,New York,-3.8,79.2,778.1,2015-06-25,3.69,20.0,285.714,Machinery,1
New Relic Inc.,California,NEWR,New York,0.0,0.6,36.6,2014-12-12,10.28,23.0,115.0,IT,1
Inogen Inc.,California,INGN,Nasdaq,0.0,1.1,54.5,2014-02-14,8.97,16.0,70.588,Health,1
Bright Scholar Education Holdings Ltd,Washington,BEDU,New York,0.0,101.7,142336.9,2017-05-18,13.29,10.5,157.5,Food,1
Sg Blocks Inc.,New York,SGBX,Nasdaq,0.0,614.0,614.0,2017-06-22,11.71,5.0,7.5,Machinery,1
Shineco Inc.,Texas,TYHT,Nasdaq,5.7,2270.7,2276.4,2016-09-28,8.0,4.5,7.709,Health,1
Macom Technology Solutions Holdings Inc.,Massachusetts,MTSI,Nasdaq,14.0,554.6,568.6,2012-03-15,8.05,19.0,114.0,IT,1
Cargurus Inc.,Massachusetts,CARG,Nasdaq,0.0,15.7,97.1,2017-10-12,10.02,16.0,150.4,IT,1
Tetraphase Pharmaceuticals Inc.,Massachusetts,TTPH,Nasdaq,0.0,2523.4,2523.4,2013-03-20,20.61,7.0,75.0,Health,1
Ardagh Group SA,Connecticut,ARD,New York,96.6,273.3,369.9,2017-03-15,9.31,19.0,307.8,Retail,1
Proteostasis Therapeutics Inc.,Massachusetts,PTI,Nasdaq,0.0,1.2,29.0,2016-02-11,0.36,8.0,50.0,Health,1
Neos Therapeutics Inc.,Texas,NEOS,Nasdaq,0.0,68.3,68.3,2015-07-23,8.45,15.0,72.0,Health,1
Obalon Therapeutics Inc.,California,OBLN,Nasdaq,-18.7,28.5,134.4,2016-10-06,9.32,15.0,75.0,Health,1
Armada Hoffler Properties Inc.,Virginia,AHH,New York,0.0,62.8,1082.2,2013-05-08,14.32,11.5,190.038,Finance,1
Proqr Therapeutics NV,Oklahoma,PRQR,Nasdaq,0.0,20.8,108.2,2014-09-18,7.74,13.0,97.5,Health,1
Michaels Companies Inc.,Texas,MIK,Nasdaq,27.9,1307.4,1335.3,2014-06-27,1.27,17.0,472.222,Retail,1
Mammoth Energy Services Inc.,Oklahoma,TUSK,Nasdaq,0.0,2.3,391.6,2016-10-14,5.65,15.0,116.25,Oil,1
Investar Holding Corp,Louisiana,ISTR,Nasdaq,7.6,1677.4,4542.1,2014-07-01,7.08,14.0,40.25,Finance,1
Iradimed Corp,Florida,IRMD,Nasdaq,0.0,332.4,3920.9,2014-07-16,10.6,6.25,12.6,Health,1
Hannon Armstrong Sustainable Infrastructure Capital Inc.,Maryland,HASI,New York,0.0,52.4,2064.0,2013-04-18,9.71,12.5,166.667,Finance,1
Servicesource International Inc.,Colorado,SREV,Nasdaq,0.0,0.0,51.7,2011-03-25,7.54,10.0,119.401,IT,1
Pure Storage Inc.,California,PSTG,New York,0.0,0.4,55.3,2015-10-07,9.75,17.0,425.0,IT,1
Zto Express (Cayman) Inc.,Connecticut,ZTO,New York,0.0,110.5,732.2,2016-10-27,4.53,19.5,1405.95,Machinery,1
Noah Holdings Ltd,Nebraska,NOAH,New York,0.0,0.0,183.3,2010-11-10,9.63,12.0,100.8,Finance,1
Amphastar Pharmaceuticals Inc.,California,AMPH,Nasdaq,0.0,0.0,3.3,2014-06-25,8.39,7.0,56.0,Health,1
Terreno Realty Corp,California,TRNO,New York,0.0,0.0,355.0,2010-02-10,10.24,20.0,175.0,Finance,1
Secoo Holding Ltd,Illinois,SECO,Nasdaq,0.0,69.8,450.0,2017-09-22,12.41,13.0,110.5,Retail,1
Xbiotech Inc.,Texas,XBIT,Nasdaq,-12.5,70.0,139.3,2015-04-15,14.29,19.0,76.0,Health,1
Galmed Pharmaceuticals Ltd,Illinois,GLMD,Nasdaq,0.0,9.4,25.2,2014-03-13,17.53,13.5,38.305,Health,1
Zendesk Inc.,California,ZEN,New York,-47.9,24.8,1254.9,2014-05-15,11.82,9.0,100.0,IT,1
Cytomx Therapeutics Inc.,California,CTMX,Nasdaq,22.3,0.0,23.7,2015-10-08,6.84,12.0,80.0,Health,1
Quanterix Corp,Massachusetts,QTRX,Nasdaq,0.0,7.1,136.2,2017-12-07,14.04,15.0,64.128,Health,1
Blue Capital Reinsurance Holdings Ltd,Pennsylvania,BCRH,New York,0.0,14.8,48207.2,2013-11-06,12.46,20.0,125.0,Finance,1
Casa Systems Inc.,Massachusetts,CASA,Nasdaq,0.0,3.9,8.9,2017-12-15,13.87,13.0,78.0,IT,1
Equity Bancshares Inc.,Kansas,EQBK,Nasdaq,3.6,0.0,1178.2,2015-11-11,3.27,22.5,43.65,Finance,1
Globus Medical Inc.,Pennsylvania,GMED,New York,0.0,242.2,242.2,2012-08-03,14.26,12.0,100.0,Health,1
Chemocentryx Inc.,California,CCXI,Nasdaq,0.0,3.1,61.1,2012-02-08,8.07,10.0,45.0,Health,1
Revance Therapeutics Inc.,California,RVNC,Nasdaq,0.0,10.1,18.0,2014-02-06,17.37,16.0,96.0,Health,1
Square Inc.,California,SQ,New York,0.0,182.5,987.5,2015-11-19,12.55,9.0,243.0,IT,1
Fiat Chrysler Automobiles NV,Indiana,FCAU,New York,0.0,1122.0,1122.0,2014-12-12,7.88,11.0,957.0,Retail,1
China Online Education Group,Tennessee,COE,New York,0.0,261.8,261.8,2016-06-10,8.64,19.0,45.6,Food,1
Presbia Plc,Oregon,LENS,Nasdaq,-7.6,0.0,47.8,2015-01-29,8.38,10.0,41.667,Clothes,1
Autohome Inc.,Minnesota,ATHM,New York,0.0,0.0,9.4,2013-12-11,7.16,17.0,132.94,IT,1
Roadrunner Transportation Systems Inc.,Wisconsin,RRTS,New York,0.0,59.6,4079.8,2010-05-13,7.34,14.0,148.409,Machinery,1
Globus Maritime Ltd,Pennsylvania,GLBS,Nasdaq,1.0,49.6,50.6,2010-11-26,9.1,11.6,70.962,Machinery,1
First Data Corp,New York,FDC,New York,0.0,137.4,295.6,2015-10-15,6.93,16.0,2560.0,Machinery,1
Arcos Dorados Holdings Inc.,Maine,ARCO,New York,22.2,55.6,83.9,2011-04-14,8.15,17.0,1249.231,Retail,1
Acm Research Inc.,California,ACMR,Nasdaq,0.0,0.0,114.2,2017-11-03,8.82,5.6,11.2,IT,1
Tandem Diabetes Care Inc.,California,TNDM,Nasdaq,-18.1,59.4,77.5,2013-11-14,11.58,15.0,120.0,Health,1
Scorpio Tankers Inc.,Hawaii,STNG,New York,0.0,0.0,351.4,2010-03-31,6.12,13.0,162.5,Machinery,1
Presidio Inc.,New York,PSDO,Nasdaq,68.5,0.0,68.5,2017-03-10,10.62,14.0,233.333,IT,1
Nmi Holdings Inc.,California,NMIH,Nasdaq,253.1,277.3,530.4,2013-11-08,4.53,13.0,27.344,Finance,1
Yy Inc.,Ohio,YY,Nasdaq,0.0,115.2,115.2,2012-11-21,13.95,10.5,81.9,IT,1
Great Ajax Corp,Oregon,AJX,New York,3.5,3619.7,3623.2,2015-02-13,12.32,14.25,71.25,Finance,1
Mid-Con Energy Partners Lp,Oklahoma,MCEP,Nasdaq,37.3,0.2,149.2,2011-12-15,6.43,18.0,97.2,Oil,1
Amber Road Inc.,New Jersey,AMBR,New York,0.0,4.3,459.1,2014-03-21,9.4,13.0,96.09,IT,1
G1 Therapeutics Inc.,North Carolina,GTHX,Nasdaq,389.6,3.9,393.5,2017-05-17,7.96,15.0,105.0,Health,1
Ovid Therapeutics Inc.,New York,OVID,Nasdaq,-24.2,7.1,56.9,2017-05-05,10.98,15.0,75.0,Health,1
Great Western Bancorp Inc.,South Dakota,GWB,New York,31.2,92.6,123.8,2014-10-15,9.67,18.0,288.0,Finance,1
Valvoline Inc.,Kentucky,VVV,New York,0.0,0.9,163.7,2016-09-23,6.7,22.0,660.0,Oil,1
Tetralogic Pharmaceuticals Corp,New York,TLOG,Nasdaq,0.0,1766.6,1766.6,2013-12-12,8.69,7.0,50.05,Health,1
Rignet Inc.,Texas,RNET,Nasdaq,0.2,0.1,71.8,2010-12-15,8.8,12.0,60.0,IT,1
Blueprint Medicines Corp,Massachusetts,BPMC,Nasdaq,-11.8,553.6,1453.9,2015-04-30,13.2,18.0,146.625,Health,1
Bright Horizons Family Solutions Inc.,Massachusetts,BFAM,New York,-4.0,88.2,319.3,2013-01-25,10.48,22.0,222.2,Retail,1
Hebron Technology Co Ltd,Maryland,HEBT,Nasdaq,0.0,0.5,79.4,2016-12-27,12.14,4.0,20.0,Machinery,1
Petiq Inc.,Idaho,PETQ,Nasdaq,0.0,1.2,9.4,2017-07-21,9.23,16.0,100.0,Health,1
Radius Health Inc.,Massachusetts,RDUS,Nasdaq,5.9,11.6,146.5,2014-06-06,11.84,8.0,52.0,Health,1
Invitation Homes Inc.,Texas,INVH,New York,72.3,318.6,390.9,2017-02-01,5.68,20.0,1540.0,Finance,1
Tilly'S Inc.,California,TLYS,New York,13.0,114.3,127.3,2012-05-04,8.31,15.5,124.0,Retail,1
Vipshop Holdings Ltd,Idaho,VIPS,New York,119.3,0.2,119.5,2012-03-23,9.57,6.5,71.53,Retail,1
Houlihan Lokey Inc.,California,HLI,New York,0.0,0.0,464.9,2015-08-13,9.9,21.0,220.5,Finance,1
Veritone Inc.,California,VERI,Nasdaq,0.0,0.2,2084.5,2017-05-12,7.4,15.0,37.5,IT,1
Blackline Inc.,California,BL,Nasdaq,6.5,7.0,2838.8,2016-10-28,11.69,17.0,146.2,IT,1
Enviva Partners Lp,Maryland,EVA,New York,-2.4,0.0,12.3,2015-04-29,9.29,20.0,200.0,Chemical,1
Ollie'S Bargain Outlet Holdings Inc.,Pennsylvania,OLLI,Nasdaq,25.6,0.0,25.6,2015-07-16,7.38,16.0,142.8,Food,1
Navigator Holdings Ltd,Oklahoma,NVGS,New York,0.0,0.6,3210.3,2013-11-21,8.77,19.0,228.0,Machinery,1
Hess Midstream Partners Lp,Texas,HESM,New York,0.0,600.7,600.7,2017-04-05,7.23,23.0,339.94,Oil,1
Ag Mortgage Investment Trust Inc.,New York,MITT,New York,19.6,1313.0,2699.0,2011-06-30,6.31,20.0,110.0,Finance,1
Fitbit Inc.,California,FIT,New York,0.0,0.1,18.8,2015-06-18,7.44,20.0,731.5,IT,1
Oasis Midstream Partners Lp,Texas,OMP,New York,1580.2,339.4,1919.6,2017-09-21,8.06,17.0,127.5,Oil,1
Black Stone Minerals LP,Texas,BSM,New York,95.0,1170.4,1265.4,2015-05-01,6.99,19.0,427.5,Oil,1
Cheetah Mobile Inc.,Maryland,CMCM,New York,0.0,147.7,147.7,2014-05-08,6.64,14.0,168.0,IT,1
Commscope Holding Company Inc.,North Carolina,COMM,Nasdaq,16.0,0.0,26.0,2013-10-25,10.45,15.0,576.923,IT,1
Mesoblast Ltd,Tennessee,MESO,Nasdaq,0.0,7.2,101.8,2015-11-13,8.56,8.0,59.837,Health,1
Enable Midstream Partners Lp,Oklahoma,ENBL,New York,0.0,27.5,81.5,2014-04-11,6.73,20.0,500.0,Oil,1
Dorian Lpg Ltd,Connecticut,LPG,New York,37.0,0.2,72.3,2014-05-08,4.71,19.0,135.0,Machinery,1
Installed Building Products Inc.,Ohio,IBP,New York,-8.6,14.8,29.4,2014-02-13,10.4,11.0,81.95,Chemical,1
Allegiance Bancshares Inc.,Texas,ABTX,Nasdaq,0.0,0.0,734.4,2015-10-08,8.64,21.0,54.6,Finance,1
Htg Molecular Diagnostics Inc.,Arizona,HTGM,Nasdaq,0.0,0.0,3544.8,2015-05-06,8.46,14.0,49.98,Health,1
Bp Midstream Partners Lp,Texas,BPMP,New York,0.0,19.9,764.6,2017-10-26,10.46,18.0,765.0,Oil,1
Verastem Inc.,Massachusetts,VSTM,Nasdaq,0.0,3.6,11.7,2012-01-27,7.32,10.0,55.0,Health,1
Voyager Therapeutics Inc.,Massachusetts,VYGR,Nasdaq,0.0,0.0,202.9,2015-11-11,7.49,14.0,70.0,Health,1
Chesapeake Energy Corp,Oklahoma,CHKR,New York,0.0,328.8,328.8,2011-11-14,8.94,19.0,380.0,Oil,1
Recro Pharma Inc.,Pennsylvania,REPH,Nasdaq,-3.3,1.4,23.4,2014-03-07,12.63,8.0,30.0,Health,1
Tdh Holdings Inc.,Illinois,PETZ,Nasdaq,102.2,0.0,3041.4,2017-09-21,6.49,4.25,5.631,Food,1
Aramark,Pennsylvania,ARMK,New York,289.4,307.8,597.2,2013-12-12,11.87,20.0,725.0,Retail,1
Kinsale Capital Group Inc.,Virginia,KNSL,Nasdaq,17.7,0.0,2760.7,2016-07-28,10.25,16.0,105.6,Finance,1
Fs Bancorp Inc.,Washington,FSBW,Nasdaq,0.0,127.0,1788.1,2012-07-10,6.67,10.0,28.175,Finance,1
Fluidigm Corp,California,FLDM,Nasdaq,-24.8,0.4,26.2,2011-02-10,5.66,13.5,75.037,Health,1
Sky Solar Holdings Ltd,Washington,SKYS,Nasdaq,37.5,0.0,97.0,2014-11-13,15.3,8.0,44.2,Energy,1
Beyondspring Inc.,New York,BYSI,Nasdaq,-31.4,0.0,31.4,2017-03-09,16.62,20.0,3.486,Health,1
Hilton Worldwide Holdings Inc.,Virginia,HLT,New York,28.4,55.4,107.9,2013-12-12,1.69,20.0,2352.812,Retail,1
Brookfield Renewable Energy Partners LP,Idaho,BEP,New York,-3.7,24.3,28.0,2013-06-11,12.24,9.99,500.0,Energy,1
Infrareit Inc.,Texas,HIFR,New York,-11.5,0.0,103.8,2015-01-30,4.06,23.0,460.0,Media,1
Scpharmaceuticals Inc.,Massachusetts,SCPH,Nasdaq,0.0,0.0,912.8,2017-11-17,9.67,14.0,89.6,Health,1
Gnc Holdings Inc.,Pennsylvania,GNC,New York,0.0,0.0,891.1,2011-04-01,11.95,16.0,360.0,Food,1
Whitestone Reit,Texas,WSR,American,347.1,262.1,837.2,2010-08-26,12.69,12.0,26.4,Finance,1
Fulgent Genetics Inc.,California,FLGT,Nasdaq,0.0,2107.2,2107.2,2016-09-29,14.19,9.0,37.8,Health,1
Kala Pharmaceuticals Inc.,Massachusetts,KALA,Nasdaq,0.0,23.2,194.9,2017-07-20,10.43,15.0,90.0,Health,1
Momo Inc.,Wisconsin,MOMO,Nasdaq,-11.0,0.0,35.9,2014-12-11,7.75,13.5,216.0,IT,1
Metropolitan Bank Holding Corp,New York,MCB,New York,0.0,0.0,2432.1,2017-11-08,7.62,35.0,108.5,Finance,1
Israel Chemicals Ltd,Virginia,ICL,New York,0.0,572.6,572.6,2014-09-24,16.45,7.0,421.107,Chemical,1
Regenxbio Inc.,Maryland,RGNX,Nasdaq,-1.2,3.4,24.7,2015-09-17,11.76,22.0,138.6,Health,1
Splunk Inc.,California,SPLK,Nasdaq,0.0,422.5,422.5,2012-04-19,11.34,17.0,229.5,IT,1
Shutterstock Inc.,New York,SSTK,New York,0.0,16.8,258.4,2012-10-11,10.98,17.0,76.5,IT,1
Zealand Pharma A/S,Rhode Island,ZEAL,Nasdaq,0.0,0.0,92.0,2017-08-09,13.71,17.87,78.181,Health,1
Iclick Interactive Asia Group Ltd,Kansas,ICLK,Nasdaq,19.5,42.6,76.1,2017-12-22,13.68,8.0,30.0,Retail,1
Walker & Dunlop Inc.,Maryland,WD,New York,18.0,13.4,40372.5,2010-12-15,3.95,10.0,100.0,Finance,1
Boingo Wireless Inc.,California,WIFI,Nasdaq,29.2,0.0,1163.8,2011-05-04,8.63,13.5,77.895,Communications,1
Evoke Pharma Inc.,California,EVOK,Nasdaq,-22.2,0.0,3572.9,2013-09-25,8.91,12.0,25.2,Health,1
Aquaventure Holdings Ltd,Oregon,WAAS,New York,0.0,306.8,306.8,2016-10-06,8.04,18.0,117.0,Energy,1
Rumbleon Inc.,Texas,RMBL,Nasdaq,-4.8,0.0,156.9,2017-10-19,11.98,5.5,16.005,Retail,1
Yintech Investment Holdings Ltd,New Jersey,YIN,Nasdaq,0.0,0.0,131856.1,2016-04-27,5.89,13.5,101.25,Finance,1
Green Dot Corp,California,GDOT,New York,32.1,255.6,287.7,2010-07-22,2.45,36.0,164.09,Finance,1
Alpha & Omega Semiconductor Ltd,California,AOSL,Nasdaq,0.0,0.0,303.0,2010-04-29,13.7,18.0,91.548,IT,1
Rh,California,RH,New York,28.6,0.0,395.8,2012-11-02,10.97,24.0,123.944,Retail,1
Auris Medical Holding Ltd,California,EARS,Nasdaq,0.0,0.0,53.1,2014-08-06,11.97,6.0,56.4,Health,1
Grana & Montero SAA,Nevada,GRAM,New York,0.0,262.4,262.4,2013-07-24,11.3,21.13,412.772,Machinery,1
Ocular Therapeutix Inc.,Massachusetts,OCUL,Nasdaq,-4.2,12.5,16.7,2014-07-25,5.58,13.0,65.0,Health,1
Vivint Solar Inc.,Utah,VSLR,New York,3.2,0.0,8.7,2014-10-01,10.89,16.0,329.6,IT,1
Jumei International Holding Ltd,Colorado,JMEI,New York,99.1,1540.2,1639.3,2014-05-16,10.77,22.0,245.08,Retail,1
Cadence Bancorporation,Texas,CADE,New York,5827.7,52.5,269635.9,2017-04-13,7.07,20.0,150.0,Finance,1
Azure Power Global Ltd,Massachusetts,AZRE,New York,57.4,0.0,57.4,2016-10-12,13.98,18.0,61.364,Energy,1
Luxoft Holding Inc.,Washington,LXFT,New York,0.0,0.0,89.5,2013-06-26,8.86,17.0,69.565,IT,1
Medpace Holdings Inc.,Ohio,MEDP,Nasdaq,27.0,0.0,31.3,2016-08-11,14.53,23.0,161.0,Health,1
Okta Inc.,California,OKTA,Nasdaq,0.0,2.4,63.0,2017-04-07,10.97,17.0,187.0,IT,1
Safehold Inc.,New York,SAFE,New York,5.9,0.0,542.7,2017-06-22,9.78,20.0,205.0,Finance,1
Biohaven Pharmaceutical Holding Co Ltd,Connecticut,BHVN,New York,0.0,37.5,37.5,2017-05-04,0.33,17.0,168.3,Health,1
Dogness (International) Corp,Indiana,DOGZ,Nasdaq,0.0,1029.5,1029.5,2017-12-20,7.57,5.0,55.0,Food,1
Arcadia Biosciences Inc.,Connecticut,RKDA,Nasdaq,954.2,0.3,954.4,2015-05-15,13.83,8.0,65.6,Chemical,1
Dbv Technologies SA,Maryland,DBVT,Nasdaq,445.5,0.3,445.8,2014-10-22,6.88,21.64,92.572,Health,1
Davidstea Inc.,Georgia,DTEA,Nasdaq,0.0,3.1,85.6,2015-06-05,5.78,19.0,96.9,Food,1
Axalta Coating Systems Ltd,Pennsylvania,AXTA,New York,8.2,120.4,128.6,2014-11-12,10.79,19.5,975.0,Chemical,1
Control4 Corp,Utah,CTRL,Nasdaq,0.0,4.9,48.0,2013-08-02,2.36,16.0,64.0,IT,1
Ptc Therapeutics Inc.,New Jersey,PTCT,Nasdaq,64.0,169.9,233.9,2013-06-20,8.17,15.0,125.58,Health,1
Carvana Co,Arizona,CVNA,New York,0.0,0.2,257.5,2017-04-28,9.05,15.0,225.0,Retail,1
Townsquare Media Inc.,Connecticut,TSQ,New York,14.0,0.0,73.5,2014-07-24,9.15,11.0,91.667,Retail,1
Galapagos Nv,Louisiana,GLPG,Nasdaq,64.8,672.7,737.5,2015-05-14,16.48,42.05,275.428,Health,1
Zogenix Inc.,California,ZGNX,Nasdaq,-25.7,0.0,186.1,2010-11-23,18.15,4.0,56.0,Health,1
Laredo Petroleum Inc.,Oklahoma,LPI,New York,42.9,0.0,94.9,2011-12-15,8.48,17.0,297.5,Oil,1
Ares Management Corp,California,ARES,New York,0.0,55.1,21271.1,2014-05-02,10.0,19.0,215.909,Finance,1
Ichor Holdings Ltd,California,ICHR,Nasdaq,0.0,0.0,431.4,2016-12-09,8.25,9.0,52.9,IT,1
Trinet Group Inc.,California,TNET,New York,-3.1,0.2,65.7,2014-03-27,7.82,16.0,240.0,Machinery,1
Shell Midstream Partners LP,Texas,SHLX,New York,105.0,8.6,545.4,2014-10-29,9.78,23.0,920.0,Oil,1
Criteo SA,Louisiana,CRTO,Nasdaq,-1.4,0.0,34.6,2013-10-30,10.94,31.0,250.56,IT,1
Scorpio Bulkers Inc.,Massachusetts,SALT,New York,2.0,0.0,81.4,2013-12-12,8.5,9.75,305.175,Machinery,1
Manchester United Plc,Pennsylvania,MANU,New York,29.4,122.0,323.9,2012-08-10,6.87,14.0,233.333,Retail,1
Summit Midstream Partners Lp,Texas,SMLP,New York,2149.0,4064.3,6213.2,2012-09-28,6.71,20.0,250.0,Oil,1
Seaworld Entertainment Inc.,Florida,SEAS,New York,29.2,41.9,71.1,2013-04-19,6.56,27.0,702.0,Retail,1
Community Healthcare Trust Inc.,Tennessee,CHCT,New York,0.0,0.0,476.4,2015-05-21,8.2,19.0,118.75,Finance,1
Hamilton Lane Inc.,Pennsylvania,HLNE,Nasdaq,0.0,202.5,202.5,2017-03-01,8.81,16.0,190.0,Finance,1
Syndax Pharmaceuticals Inc.,Massachusetts,SNDX,Nasdaq,0.0,1.1,69.4,2016-03-03,10.78,12.0,52.8,Health,1
Yelp Inc.,California,YELP,New York,-17.0,404.3,421.3,2012-03-02,10.96,15.0,107.25,IT,1
Nexa Resources SA,New York,NEXA,New York,0.0,5.3,111.1,2017-10-27,10.2,16.0,496.0,Chemical,1
Electromed Inc.,Minnesota,ELMD,Nasdaq,0.0,803.1,803.1,2010-08-13,6.15,4.0,6.8,Health,1
Foamix Pharmaceuticals Ltd,Kansas,FOMX,Nasdaq,-1.7,0.0,3341.6,2014-09-18,14.09,6.0,40.2,Health,1
Atossa Genetics Inc.,Washington,ATOS,Nasdaq,1.8,904.5,906.3,2012-11-08,6.33,5.0,4.0,Health,1
Intermolecular Inc.,California,IMI,Nasdaq,0.0,0.1,125.2,2011-11-18,11.99,10.0,96.5,IT,1
Catchmark Timber Trust Inc.,Georgia,CTT,New York,59.7,192.4,252.2,2013-12-12,8.34,13.5,142.105,Finance,1
Aimmune Therapeutics Inc.,California,AIMT,Nasdaq,1.6,219.6,221.2,2015-08-06,10.97,16.0,160.0,Health,1
Constellium NV,Oregon,CSTM,New York,-3.2,0.0,147.2,2013-05-23,11.56,15.0,333.333,Chemical,1
Paylocity Holding Corp,Illinois,PCTY,Nasdaq,13.6,0.0,44.3,2014-03-19,8.24,17.0,119.765,IT,1
Reata Pharmaceuticals Inc.,Texas,RETA,Nasdaq,29.9,0.0,29.9,2016-05-26,14.61,11.0,60.5,Health,1
Impinj Inc.,Washington,PI,Nasdaq,-6.5,0.0,17.4,2016-07-21,10.62,14.0,67.2,IT,1
Spero Therapeutics Inc.,Massachusetts,SPRO,Nasdaq,0.0,54.0,173.9,2017-11-02,8.74,14.0,77.0,Health,1
Rev Group Inc.,Wisconsin,REVG,New York,15.5,1556.8,1572.4,2017-01-27,11.31,22.0,275.0,Retail,1
Intercept Pharmaceuticals Inc.,New York,ICPT,Nasdaq,-3.7,894.3,898.0,2012-10-11,8.36,15.0,75.0,Health,1
Innovative Industrial Properties Inc.,California,IIPR,New York,0.0,110.2,13630.9,2016-12-01,19.83,20.0,67.0,Finance,1
American Homes 4 Rent,California,AMH,New York,-0.5,0.0,26607.2,2013-08-01,3.8,16.0,705.882,Finance,1
Servisfirst Bancshares Inc.,Alabama,SFBS,Nasdaq,0.0,279.3,333.8,2014-05-14,9.0,91.0,56.875,Finance,1
Cyberark Software Ltd,North Carolina,CYBR,Nasdaq,0.0,0.0,32.0,2014-09-24,1.17,16.0,14.4,IT,1
Express Inc.,Ohio,EXPR,New York,-4.4,70.7,75.1,2010-05-13,9.23,17.0,272.0,Retail,1
Clipper Realty Inc.,New York,CLPR,New York,0.0,145.7,135215.1,2017-02-10,8.39,13.5,76.95,Finance,1
