company_name,state_name,ticker_name,exchange_name,profit_millions,debt_millions,assets_millions,ipo_date,ipo_fees_millions,ipo_price_usd_per_share,ipo_amount_millions,industry_name
Pharmasset Inc,New Jersey,VRUS,Nasdaq,0.0,0.1,38.0,2006-05-08,13.1,9.0,45.0,Chemical
Phibro Animal Health Corp,New Jersey,PAHC,Nasdaq,461.5,1807.0,2268.5,2014-04-11,11.2,15.0,191.2,Health
Phillips 66 Partners Lp,Texas,PSXP,New York,5.0,64.7,1381.6,2013-07-23,10.2,23.0,377.8,Oil
Physicians Realty Trust,Wisconsin,DOC,New York,6.1,66.3,106.3,2013-05-24,7.6,11.5,120.0,Finance
Piedmont Office Realty Trust Inc.,Georgia,PDM,New York,0.0,70.1,83.6,2010-02-10,3.3,14.5,174.0,Finance
Pike Electric Corp,North Carolina,PIKE,New York,64.2,286.1,592.5,2005-04-18,9.0,14.0,189.0,Energy
Pinnacle Foods Inc,New Jersey,PF,New York,381.6,2585.8,4400.0,2012-02-27,5.8,20.0,580.0,Food
Pixelworks Inc,California,PXLW,Nasdaq,0.0,0.0,44.6,2000-02-25,8.1,10.0,57.5,Machinery
Plains All American Pipeline LP,Texas,PAA,New York,9.1,175.0,149.6,1998-09-23,7.6,20.0,261.7,Oil
Plains Gp Holdings Lp,Texas,PAGP,New York,35.8,571.4,607.1,2013-10-16,8.0,22.0,2816.0,Oil
Planet Fitness Inc.,New Hampshire,PLNT,New York,13.4,2.1,503.0,2015-08-06,8.5,16.0,216.0,Retail
PlasmaTech Biopharmaceuticals Inc,Texas,ACCP,Nasdaq,0.0,0.0,0.3,2014-07-02,10.3,4.0,14.0,Chemical
PokerTek Inc,North Carolina,PTEK,Nasdaq,0.0,0.0,2.3,2005-08-04,9.3,11.0,22.0,IT
Polar Power Inc.,California,POLA,Nasdaq,0.0,909.9,909.9,2016-12-07,5.1,7.0,16.8,Machinery
Porter Bancorp Inc,Kentucky,PBIB,Nasdaq,0.0,82.0,1013.4,2006-04-11,9.3,24.0,37.2,Finance
Portfolio Recovery Associates Inc,Virginia,PRAA,Nasdaq,0.0,0.9,65.5,2002-09-06,8.2,13.0,50.7,Finance
Portola Pharmaceuticals Inc.,California,PTLA,Nasdaq,0.0,318.6,318.6,2013-05-22,10.7,14.5,122.1,Health
Potbelly Corp,Illinois,PBPB,Nasdaq,12.3,50.5,68.6,2013-10-04,9.7,14.0,105.0,Retail
Ppdai Group Inc.,Massachusetts,PPDF,New York,122.1,61.7,630.2,2017-11-10,8.5,13.0,221.0,Finance
Pra Health Sciences Inc.,North Carolina,PRAH,Nasdaq,0.0,0.0,2560.8,2014-11-13,13.3,18.0,305.6,Health
Preferred Apartment Communities Inc.,Georgia,APTS,American,0.0,177.0,177.0,2011-04-01,14.7,10.0,45.0,Finance
Premier Inc.,North Carolina,PINC,Nasdaq,0.0,21.9,145.4,2013-09-26,1.2,27.0,760.1,IT
Premium Standard Farms Inc,Missouri,PORK,Nasdaq,187.8,137.7,737.0,2005-03-11,8.1,12.5,123.0,Machinery
Presbia Plc,Oregon,LENS,Nasdaq,0.0,0.0,47.8,2015-01-29,8.4,10.0,41.7,Clothes
Presidio Inc.,New York,PSDO,Nasdaq,68.5,0.0,68.5,2017-03-10,10.6,14.0,233.3,IT
Primerica Inc,Georgia,PRI,New York,0.0,0.0,9973.5,2009-11-05,10.1,15.0,320.4,Finance
Primo Water Corp,North Carolina,PRMW,Nasdaq,0.0,0.0,70.0,2010-11-05,12.2,12.0,100.0,Food
PrivateBancorp Inc,Illinois,PVTB,Nasdaq,0.0,0.0,439.1,1999-04-27,11.0,18.0,16.2,Finance
ProCentury Corp,Ohio,PROS,Nasdaq,0.0,25.0,347.1,2003-12-18,8.1,10.5,93.5,Finance
Proofpoint Inc,California,PFPT,Nasdaq,0.0,3.1,64.7,2011-05-05,8.4,13.0,82.3,IT
Propetro Holding Corp,Texas,PUMP,New York,0.0,82.2,193.8,2017-03-17,7.7,14.0,350.0,Oil
Proqr Therapeutics NV,Oklahoma,PRQR,Nasdaq,0.0,20.8,108.2,2014-09-18,7.7,13.0,97.5,Health
Pros Holdings Inc,Texas,PRO,New York,0.0,19.8,25.7,2007-04-04,9.3,11.0,75.1,IT
"Prosperity Bancshares Inc, Houston,Texas",Texas,PRSP,Nasdaq,0.0,0.0,336.4,1998-09-11,8.5,12.0,20.6,Finance
Protagonist Therapeutics Inc.,California,PTGX,Nasdaq,0.0,25.6,393.3,2016-08-11,8.7,12.0,90.0,Health
Proteon Therapeutics Inc,Massachusetts,PRTO,Nasdaq,0.0,0.0,27.1,2014-09-16,10.7,10.0,61.1,Agriculture
Proteostasis Therapeutics Inc.,Massachusetts,PTI,Nasdaq,0.0,1.2,29.0,2016-02-11,0.4,8.0,50.0,Health
Proto Labs Inc.,Minnesota,PRLB,New York,0.0,0.0,51.8,2012-02-24,4.9,16.0,68.8,Machinery
Ptc Therapeutics Inc.,New Jersey,PTCT,Nasdaq,64.0,169.9,233.9,2013-06-20,8.2,15.0,125.6,Health
Pulse Biosciences Inc.,California,PLSE,Nasdaq,6.6,1473.5,1480.1,2016-05-18,9.7,4.0,20.0,Health
Pure Storage Inc.,California,PSTG,New York,0.0,0.4,55.3,2015-10-07,9.8,17.0,425.0,IT
Pzena Investment Management Inc,New York,PZN,New York,0.0,60.0,99.7,2007-06-11,10.5,18.0,109.8,Finance
Q2 Holdings Inc.,Texas,QTWO,New York,0.0,3.8,144.7,2014-03-20,10.5,13.0,100.9,IT
QEP Midstream Partners LP,Colorado,QEPM,New York,106.4,0.0,706.1,2013-01-07,5.8,21.0,420.0,Oil
QTS Realty Trust Inc,Kansas,QTS,New York,63.7,344.8,781.9,2013-08-16,7.3,21.0,257.3,Finance
Qiwi,Hawaii,QIWI,Nasdaq,0.0,54.0,54.0,2013-05-03,8.0,17.0,212.5,Finance
Quality Distribution Inc,Florida,QLTY,Nasdaq,63.5,272.8,379.1,2003-08-29,8.6,17.0,119.0,Transport
Qualys Inc,California,QLYS,Nasdaq,6.0,1.1,74.0,2012-06-08,9.0,12.0,90.9,IT
Quantenna Communications Inc.,California,QTNA,Nasdaq,0.0,578.4,592.0,2016-10-28,10.4,16.0,107.2,IT
Quanterix Corp,Massachusetts,QTRX,Nasdaq,0.0,7.1,136.2,2017-12-07,14.0,15.0,64.1,Health
Qudian Inc.,Washington,QD,New York,14.0,0.0,2306.7,2017-10-18,6.3,24.0,900.0,Finance
Quest Energy Partners LP,Oklahoma,QELP,Nasdaq,0.0,94.0,368.1,2007-07-19,7.4,18.0,163.8,Oil
QuickLogic Corp,California,QUIK,Nasdaq,0.0,0.1,19.3,1997-06-09,8.3,10.0,66.7,Machinery
Quinstreet Inc.,California,QNST,Nasdaq,0.0,0.1,60.0,2010-02-11,11.1,15.0,150.0,IT
RBC Bearings Inc,Connecticut,ROLL,Nasdaq,0.0,168.3,247.1,2005-05-11,7.9,14.5,134.7,Machinery
RCS Capital Corp,New York,RCAP,New York,36.4,0.0,61.6,2013-02-22,11.0,20.0,50.0,Finance
Ra Pharmaceuticals Inc.,Massachusetts,RARX,Nasdaq,0.0,22.8,63.9,2016-10-26,8.7,13.0,91.6,Health
Rackspace Hosting Inc,Texas,RAX,New York,0.0,254.8,408.3,2008-04-25,8.7,12.5,187.5,IT
Radiant Systems Inc,Georgia,RADS,Nasdaq,0.0,4.1,14.6,1996-12-12,8.6,9.5,27.6,IT
Radius Health Inc.,Massachusetts,RDUS,Nasdaq,5.9,11.6,146.5,2014-06-06,11.8,8.0,52.0,Health
Ranger Energy Services Inc.,Texas,RNGR,New York,116.0,44.1,160.1,2017-08-11,11.1,14.5,85.0,Oil
Rapid7 Inc.,Massachusetts,RPD,Nasdaq,0.0,5.0,933.6,2015-07-17,10.6,16.0,103.2,IT
Rbb Bancorp,California,RBB,Nasdaq,0.0,156.2,35954.5,2017-07-26,11.9,23.0,86.3,Finance
Re/Max Holdings Inc.,Colorado,RMAX,New York,0.0,292.6,38918.7,2013-10-02,9.3,22.0,220.0,Finance
RealPage Inc,Texas,RP,Nasdaq,0.0,34.5,142.1,2010-04-29,8.0,11.0,135.3,IT
Realogy Holdings Corp,New Jersey,RLGY,New York,34.0,2848.4,2882.4,2012-10-11,9.6,27.0,1080.0,Finance
Reata Pharmaceuticals Inc.,Texas,RETA,Nasdaq,29.9,0.0,29.9,2016-05-26,14.6,11.0,60.5,Health
Recro Pharma Inc.,Pennsylvania,REPH,Nasdaq,0.0,1.4,23.4,2014-03-07,12.6,8.0,30.0,Health
RedEnvelope Inc,California,REDE,Nasdaq,0.0,0.0,48.8,2003-06-13,9.9,14.0,30.8,Retail
Redfin Corp,Washington,RDFN,Nasdaq,0.0,2997.2,116020.0,2017-07-28,11.5,15.0,138.5,Finance
Regado Biosciences Inc,New Jersey,RGDO,Nasdaq,0.0,3.9,25.8,2013-04-29,11.3,4.0,43.0,Chemical
Regal Entertainment Group,Tennessee,RGC,New York,0.0,710.8,2239.9,2002-03-11,7.6,19.0,342.0,Media
Regenxbio Inc.,Maryland,RGNX,Nasdaq,0.0,3.4,24.7,2015-09-17,11.8,22.0,138.6,Health
Regional Management Corp,South Carolina,RM,New York,0.0,21.5,29414.1,2012-03-28,7.3,15.0,63.0,Finance
Renewable Energy Group Inc.,Iowa,REGI,Nasdaq,66.8,87.1,278.7,2012-01-19,12.2,10.0,72.0,Oil
Renren Inc.,South Carolina,RENN,New York,323.3,3.3,326.6,2011-05-04,7.8,14.0,743.4,Retail
Rentech Nitrogen Partners LP,California,RNF,New York,28.8,0.0,223.0,2011-08-05,8.3,20.0,300.0,Chemical
Republic Airways Holdings Inc,Indiana,RJET,Nasdaq,0.0,482.4,678.4,2002-03-11,10.3,13.0,65.0,Transport
Republic Services Inc,Florida,RSG,New York,0.0,102.2,1582.0,1998-05-13,5.5,24.0,1320.0,Oil
Resonant Inc.,California,RESN,Nasdaq,0.0,11.4,28.4,2014-05-29,6.7,6.0,16.2,IT
Resource Capital Corp,New York,RSO,New York,54.0,1793.5,2045.5,2005-07-11,10.2,15.0,60.0,Finance
Response Genetics Inc,California,RGDX,Nasdaq,0.0,0.0,8.3,2006-12-20,15.1,7.0,21.0,Health
Restoration Robotics Inc.,California,HAIR,Nasdaq,0.0,0.0,253.9,2017-10-12,9.1,7.0,25.0,Health
Reto Eco-Solutions Inc.,Rhode Island,RETO,Nasdaq,53.6,0.0,53.6,2017-11-29,7.7,5.0,14.0,Chemical
Retrophin Inc,California,RTRX,Nasdaq,0.0,0.0,20.5,2013-12-18,8.6,8.5,40.0,Chemical
Rev Group Inc.,Wisconsin,REVG,New York,15.5,1556.8,1572.4,2017-01-27,11.3,22.0,275.0,Retail
Revance Therapeutics Inc.,California,RVNC,Nasdaq,0.0,10.1,18.0,2014-02-06,17.4,16.0,96.0,Health
Rewalk Robotics Ltd,Kentucky,RWLK,Nasdaq,0.0,0.0,33.8,2014-09-12,8.4,12.0,36.0,Health
Rex Energy Corp,Pennsylvania,REXX,Nasdaq,0.0,18.2,144.3,2007-04-27,8.2,11.0,105.6,Oil
Rexford Industrial Realty Inc.,California,REXR,New York,0.0,645.2,645.2,2013-07-19,1.9,14.0,224.0,Finance
Rexnord Corp,Wisconsin,RXN,New York,0.0,2413.4,3207.4,2011-05-26,5.6,18.0,426.3,Machinery
Rh,California,RH,New York,28.6,0.0,395.8,2012-11-02,11.0,24.0,123.9,Retail
Rhythm Pharmaceuticals Inc.,Massachusetts,RYTM,Nasdaq,0.0,1.5,71.4,2017-10-05,17.5,17.0,119.9,Health
Rignet Inc.,Texas,RNET,Nasdaq,0.2,0.1,71.8,2010-12-15,8.8,12.0,60.0,IT
Ringcentral Inc.,California,RNG,New York,14.2,0.0,61.4,2013-09-27,9.0,13.0,97.5,IT
Rise Education Cayman Ltd,Oregon,REDU,Nasdaq,0.0,44.0,151.7,2017-10-20,8.7,14.5,159.5,Food
Ritter Pharmaceuticals Inc.,California,RTTR,Nasdaq,22.8,0.0,22.8,2015-06-24,10.7,5.0,20.0,Health
Riverbed Technology Inc,California,RVBD,Nasdaq,0.0,0.3,44.7,2006-04-20,9.9,9.8,85.8,IT
Roadrunner Transportation Systems Inc.,Wisconsin,RRTS,New York,0.0,59.6,4079.8,2010-05-13,7.3,14.0,148.4,Machinery
Rocket Fuel Inc,California,FUEL,Nasdaq,0.0,10.6,99.8,2013-02-13,9.7,29.0,116.0,Media
Roku Inc.,California,ROKU,Nasdaq,335.3,0.0,1357.3,2017-09-28,5.6,14.0,219.4,Communications
Ruckus Wireless Inc,California,RKUS,New York,20.6,0.0,123.1,2012-05-01,9.6,15.0,126.0,IT
Rumbleon Inc.,Texas,RMBL,Nasdaq,0.0,0.0,156.9,2017-10-19,12.0,5.5,16.0,Retail
Ryb Education Inc.,North Carolina,RYB,New York,0.0,0.1,83.8,2017-09-27,9.7,18.5,144.3,Food
Ryerson Holding Corp,Illinois,RYI,New York,0.0,1198.1,1907.9,2010-01-22,8.5,11.0,121.0,Metal
SAGE Therapeutics Inc,Massachusetts,SAGE,Nasdaq,0.0,0.0,51.7,2014-06-17,8.3,18.0,90.0,Chemical
SBA Communications Corp,Florida,SBAC,Nasdaq,0.0,210.7,231.8,1999-04-19,8.1,9.0,79.4,Communications
SGX Pharmaceuticals Inc,California,SGXP,Nasdaq,0.0,0.0,33.3,2005-09-02,15.3,6.0,24.0,Agriculture
SMTP Inc,Massachusetts,SMTP,Nasdaq,2.0,0.0,2.4,2013-12-26,7.0,6.3,10.0,Media
Sabre Corp,Texas,SABR,Nasdaq,0.0,0.0,24.6,2014-04-17,16.2,16.0,627.2,IT
Sachem Capital Corp,Connecticut,SACH,NYSE MKT,0.0,0.0,1403.4,2017-02-10,9.6,5.0,13.0,Finance
Safehold Inc.,New York,SAFE,New York,5.9,0.0,542.7,2017-06-22,9.8,20.0,205.0,Finance
Sajan Inc,Wisconsin,SAJA,Nasdaq,0.7,0.8,9.6,2014-05-08,22.4,5.0,3.5,Consulting
Salary.com Inc,Massachusetts,SLRY,Nasdaq,0.0,0.0,15.9,2006-11-13,13.2,10.5,59.9,IT
Salesforce.com Inc,California,CRM,New York,0.0,1.0,94.7,2003-12-18,10.2,11.0,110.0,IT
SandRidge Energy Inc,Oklahoma,SD,New York,0.0,1052.3,3170.5,2007-06-22,6.3,26.0,637.8,Oil
Sandridge Energy Inc.,Oklahoma,SDR,New York,0.0,0.7,682.3,2012-04-18,10.2,21.0,546.0,Oil
Sandridge Energy Inc.,Oklahoma,SDT,New York,0.0,3917.3,3917.3,2011-04-07,6.3,21.0,315.0,Oil
Santander Consumer USA Holdings Inc,Texas,SC,New York,1703.9,25357.3,26204.9,2012-11-22,3.8,24.0,1799.8,Finance
Sauer Inc,Iowa,SHS,New York,0.0,67.9,412.5,1998-03-20,8.3,18.0,76.5,Machinery
Saul Centers Inc,Maryland,BFS,New York,153.6,941.2,1422.5,2018-01-16,3.8,25.0,75.0,Finance
Schneider National Inc.,Wisconsin,SNDR,New York,0.0,128.1,131.9,2017-04-06,11.1,19.0,550.0,Machinery
SciQuest Inc,North Carolina,SQI,Nasdaq,3.8,0.0,38.7,2010-03-26,10.8,9.5,57.0,IT
Scorpio Bulkers Inc.,Massachusetts,SALT,New York,2.0,0.0,81.4,2013-12-12,8.5,9.8,305.2,Machinery
Scorpio Tankers Inc.,Hawaii,STNG,New York,0.0,0.0,351.4,2010-03-31,6.1,13.0,162.5,Machinery
Scpharmaceuticals Inc.,Massachusetts,SCPH,Nasdaq,0.0,0.0,912.8,2017-11-17,9.7,14.0,89.6,Health
Scynexis Inc.,New Jersey,SCYX,Nasdaq,0.0,1.7,142.1,2014-05-02,8.0,10.0,62.0,Health
Seadrill Partners Llc,South Carolina,SDLP,New York,0.0,0.0,1790.0,2012-10-19,6.8,22.0,192.5,Oil
Sealy Corp,North Carolina,ZZ,New York,228.3,796.1,908.5,2005-06-30,7.5,16.0,448.0,Furniture
Seattle Genetics Inc,Washington,SGEN,Nasdaq,0.0,0.0,76.7,2000-11-20,9.7,7.0,49.0,Agriculture
Seaworld Entertainment Inc.,Florida,SEAS,New York,29.2,41.9,71.1,2013-04-19,6.6,27.0,702.0,Retail
Second Sight Medical Products Inc.,California,EYES,Nasdaq,0.0,510.6,510.6,2014-11-19,2.9,9.0,31.5,Health
Secoo Holding Ltd,Illinois,SECO,Nasdaq,0.0,69.8,450.0,2017-09-22,12.4,13.0,110.5,Retail
Secureworks Corp,Georgia,SCWX,Nasdaq,0.0,0.1,401.0,2016-04-22,8.7,14.0,112.0,IT
Select Medical Holdings Corp,Pennsylvania,SEM,New York,315.4,1521.4,2532.7,2008-07-25,7.0,10.0,300.0,Health
Selecta Biosciences Inc.,Massachusetts,SELB,Nasdaq,0.0,11.4,168.3,2016-06-22,14.5,14.0,70.0,Health
Selectica Inc,California,SLTCD,Nasdaq,0.0,0.0,27.1,1999-12-10,8.1,30.0,120.0,IT
Semler Scientific Inc.,California,SMLR,Nasdaq,0.0,1.3,97.8,2014-02-21,8.4,7.0,10.0,Health
Senestech Inc.,Arizona,SNES,Nasdaq,0.0,0.7,2173.5,2016-12-08,11.2,8.0,15.0,Chemical
Senomyx Inc,California,SNMX,Nasdaq,0.0,0.0,18.7,2004-03-29,10.7,6.0,36.0,Chemical
Sensata Technologies Holding Plc,Maine,ST,New York,0.0,0.0,92.1,2010-03-11,10.0,18.0,568.8,IT
Senseonics Holdings Inc.,Maryland,SENS,American,0.0,0.0,1360.3,2016-03-18,8.7,2.9,45.0,Health
Seres Therapeutics Inc.,Massachusetts,MCRB,Nasdaq,247.4,7.4,254.7,2015-06-26,9.0,18.0,133.8,Health
Servicemaster Global Holdings Inc.,Tennessee,SERV,New York,177.1,0.4,177.5,2014-06-26,8.5,17.0,610.3,Machinery
Servicenow Inc.,California,NOW,New York,0.0,90.3,108.4,2012-06-29,13.4,18.0,209.7,IT
Servicesource International Inc.,Colorado,SREV,Nasdaq,0.0,0.0,51.7,2011-03-25,7.5,10.0,119.4,IT
Servisfirst Bancshares Inc.,Alabama,SFBS,Nasdaq,0.0,279.3,333.8,2014-05-14,9.0,91.0,56.9,Finance
Sg Blocks Inc.,New York,SGBX,Nasdaq,0.0,614.0,614.0,2017-06-22,11.7,5.0,7.5,Machinery
Shake Shack Inc.,New York,SHAK,New York,62.3,96.6,158.9,2015-01-30,8.1,21.0,105.0,Retail
Shell Midstream Partners LP,Texas,SHLX,New York,105.0,8.6,545.4,2014-10-29,9.8,23.0,920.0,Oil
Shineco Inc.,Texas,TYHT,Nasdaq,5.7,2270.7,2276.4,2016-09-28,8.0,4.5,7.7,Health
Shopify Inc.,Rhode Island,SHOP,New York,0.0,0.0,131.7,2015-05-21,7.5,17.0,130.9,IT
Shotspotter Inc.,California,SSTI,Nasdaq,0.0,0.3,0.7,2017-06-07,9.5,11.0,30.8,IT
Shutterfly Inc,California,SFLY,Nasdaq,0.0,1.9,54.6,2006-06-29,9.9,15.0,87.0,Chemical
Shutterstock Inc.,New York,SSTK,New York,0.0,16.8,258.4,2012-10-11,11.0,17.0,76.5,IT
SiRF Technology Holdings Inc,California,SIRF,Nasdaq,0.0,2.4,93.5,2004-02-10,8.4,12.0,132.0,Machinery
Sienna Biopharmaceuticals Inc.,California,SNNA,Nasdaq,0.0,47.6,47.6,2017-07-27,10.1,15.0,65.0,Health
Sientra Inc,California,SIEN,Nasdaq,0.0,21.7,62.3,2014-09-19,9.6,15.0,75.0,Health
SigmaTel Inc,Texas,SGTL,Nasdaq,0.0,0.1,29.1,2003-07-03,8.0,15.0,150.0,Machinery
Sirtris Pharmaceuticals Inc,Massachusetts,SIRT,Nasdaq,0.0,8.0,83.5,2007-03-01,9.6,10.0,60.0,Chemical
Siteone Landscape Supply Inc.,Georgia,SITE,New York,1.7,0.1,18.9,2016-05-12,8.5,21.0,210.0,Machinery
Skilled Healthcare Group Inc,California,SKH,New York,0.0,405.6,879.9,2006-10-10,7.9,15.5,258.3,Health
Sky Solar Holdings Ltd,Washington,SKYS,Nasdaq,37.5,0.0,97.0,2014-11-13,15.3,8.0,44.2,Energy
Smart & Final Stores Inc.,California,SFS,New York,465.5,525.9,991.4,2014-09-24,11.6,12.0,161.4,Food
Smart Global Holdings Inc.,California,SGH,Nasdaq,0.0,0.1,56.7,2017-05-24,8.5,11.0,58.3,IT
Smart Modular Technologies (WWH)Inc,California,SMOD,Nasdaq,0.0,125.0,334.9,2005-10-19,8.1,9.0,163.6,Machinery
Smart Sand Inc.,Texas,SND,Nasdaq,0.0,3980.8,3994.9,2016-11-04,6.6,11.0,128.7,Chemical
Snap Inc.,California,SNAP,New York,0.0,9.8,47.6,2017-03-02,15.5,17.0,3400.0,IT
Sogou Inc.,Illinois,SOGO,New York,0.0,0.0,3719.8,2017-11-09,8.8,13.0,585.0,IT
SolarWinds Inc,Texas,SWI,New York,0.0,44.1,89.1,2008-03-21,9.2,12.5,151.5,IT
Solaredge Technologies Inc.,South Carolina,SEDG,Nasdaq,21.4,0.0,56.2,2015-03-26,9.0,18.0,126.0,IT
Solaris Oilfield Infrastructure Inc.,Texas,SOI,New York,0.0,4.3,244.2,2017-05-12,5.9,12.0,121.2,Oil
Somaxon Pharmaceuticals Inc,California,SOMX,Nasdaq,0.0,0.0,108.4,2005-10-07,10.5,11.0,55.0,Chemical
SonicWALL Inc,California,SNWL,Nasdaq,0.0,0.0,15.4,1999-08-27,8.9,14.0,56.0,IT
Sophiris Bio Inc.,California,SPHS,Nasdaq,0.0,65.6,766.6,2013-08-16,10.8,5.0,65.0,Health
Sourcefire Inc,Maryland,FIRE,Nasdaq,0.5,0.0,121.7,2006-10-25,9.5,15.0,86.6,IT
Southern National Bancorp of Virginia Inc,Virginia,SONA,Nasdaq,0.0,0.0,156.9,2006-08-04,4.7,14.0,25.0,Finance
Spansion Inc,California,SPSN,Nasdaq,0.0,526.1,2754.8,2005-04-13,6.8,12.0,506.4,Machinery
Spark Energy Inc,Texas,SPKE,Nasdaq,39.3,0.0,86.5,2014-05-29,13.5,18.0,54.0,Energy
Spark Therapeutics Inc.,Pennsylvania,ONCE,Nasdaq,0.0,1518.0,1542.7,2015-01-30,10.7,23.0,161.0,Health
Specialty Underwriters Alliance Inc,Illinois,SUAI,Nasdaq,0.0,0.0,2.9,2004-07-28,8.2,9.5,120.7,Finance
Spero Therapeutics Inc.,Massachusetts,SPRO,Nasdaq,0.0,54.0,173.9,2017-11-02,8.7,14.0,77.0,Health
Spirit AeroSystems Holdings Inc,Kansas,SPR,New York,0.0,594.3,2335.4,2006-06-30,5.5,26.0,1432.2,Machinery
Spirit Airlines Inc.,Florida,SAVE,Nasdaq,0.0,11.0,30.4,2011-05-26,13.7,12.0,187.2,Machinery
Spirit Finance Corp,Arizona,SFC,New York,0.0,178.4,527.8,2004-10-19,7.8,11.0,287.0,Finance
Spirit Realty Capital Inc,Arizona,SRC,New York,226.3,1904.9,3224.7,2011-11-10,8.1,15.0,435.0,Finance
Splunk Inc.,California,SPLK,Nasdaq,0.0,422.5,422.5,2012-04-19,11.3,17.0,229.5,IT
Sportsman'S Warehouse Holdings Inc.,Utah,SPWH,Nasdaq,93.3,2.3,95.6,2014-04-17,1.3,9.5,118.8,Retail
Sprague Resources Lp,New Hampshire,SRLP,New York,0.0,178.5,431.6,2013-10-25,9.2,18.0,153.0,Oil
Spring Bank Pharmaceuticals Inc.,Massachusetts,SBPH,Nasdaq,0.0,1668.4,1680.6,2016-05-06,11.1,12.0,11.0,Health
Sps Commerce Inc.,Minnesota,SPSC,Nasdaq,15.7,32.1,174.6,2010-04-22,8.8,12.0,49.2,IT
Square Inc.,California,SQ,New York,0.0,182.5,987.5,2015-11-19,12.6,9.0,243.0,IT
Ss&C Technologies Holdings Inc.,Connecticut,SSNC,Nasdaq,0.0,0.0,101.0,2010-03-31,14.5,15.0,160.9,IT
Standard Avb Financial Corp,Pennsylvania,STND,Nasdaq,19.5,155.1,8827.3,2010-10-07,7.7,10.0,34.5,Finance
Stanley Inc,Virginia,SXE,New York,0.0,37.0,197.4,2006-05-12,10.0,13.0,81.9,IT
Stemline Therapeutics Inc.,New York,STML,Nasdaq,0.0,0.0,265.1,2013-01-29,10.8,10.0,33.2,Health
Sterling Bancorp Inc.,Michigan,SBT,Nasdaq,4.3,1713.9,1718.2,2017-11-17,1.0,12.0,180.0,Finance
Stitch Fix Inc.,California,SFIX,Nasdaq,70.7,74.0,144.7,2017-11-17,10.0,15.0,120.0,Retail
StoneMor Partners LP,Pennsylvania,STON,Nasdaq,0.0,80.0,480.7,2004-04-09,17.9,20.5,75.3,Services
Store Capital Corp,Arizona,STOR,New York,0.0,93.5,688.8,2014-11-18,13.0,18.5,508.8,Finance
SuccessFactors Inc,California,SFSF,Nasdaq,0.0,0.1,57.0,2007-07-20,9.6,10.0,107.9,IT
Summit Hotel Properties Inc,Texas,INN,New York,32.9,0.0,493.0,2010-08-09,9.4,9.8,253.5,Finance
Summit Materials Inc.,Colorado,SUM,New York,0.0,3.6,57.2,2015-03-12,13.0,18.0,400.0,Chemical
Summit Midstream Partners Lp,Texas,SMLP,New York,2149.0,4064.3,6213.2,2012-09-28,6.7,20.0,250.0,Oil
Summit Therapeutics Plc,South Carolina,SMMT,Nasdaq,0.0,0.0,18.4,2015-03-05,12.7,9.9,34.2,Health
Suncoke Energy Inc.,Illinois,SXC,New York,0.0,19.5,133.6,2011-07-21,9.9,16.0,185.6,Chemical
Suncoke Energy Partners LP,Illinois,SXCP,New York,0.0,9.4,62.1,2013-01-18,8.9,19.0,256.5,Chemical
Sunesis Pharmaceuticals Inc,California,SNSS,Nasdaq,0.0,1.4,31.9,2004-12-23,11.2,7.0,42.0,Chemical
Sunoco Logistics Partners LP,Pennsylvania,SXL,New York,78.7,252.3,949.4,2001-10-19,11.8,20.3,101.3,Oil
Sunrun Inc.,California,RUN,Nasdaq,0.0,0.0,1.2,2015-08-05,10.5,14.0,250.6,IT
Sunstone Hotel Investors Inc,California,SHO,New York,96.9,667.5,1359.6,2004-07-02,7.5,17.0,358.7,Services
Superior Drilling Products Inc.,Utah,SDPI,American,0.0,2.3,150.8,2014-05-23,7.0,4.0,27.0,Oil
Superior Well Services Inc,Pennsylvania,SWSI,Nasdaq,0.0,1.3,75.4,2005-05-06,8.9,13.0,73.1,Oil
Supernus Pharmaceuticals Inc.,Maryland,SUPN,Nasdaq,0.0,0.0,34.8,2012-05-01,11.1,5.0,50.0,Health
SurModics Inc,Minnesota,SRDX,Nasdaq,0.0,0.0,6.5,1997-12-24,9.5,7.5,15.0,Health
Surgery Partners Inc.,Tennessee,SGRY,Nasdaq,0.0,0.0,4.9,2015-10-01,9.9,19.0,271.4,Health
Switch Inc.,Nevada,SWCH,New York,0.0,17.0,59.4,2017-10-06,9.0,17.0,531.3,IT
Symetra Financial Corp,Washington,SYA,New York,227.3,448.9,22246.3,2009-10-05,6.5,12.0,364.8,Finance
Synaptics Inc,California,SYNA,Nasdaq,0.0,1.9,33.1,2001-02-22,9.5,11.0,55.0,IT
Synchrony Financial,Connecticut,SYF,New York,0.0,271.5,591.1,2014-07-31,4.3,23.0,2875.0,Finance
Syndax Pharmaceuticals Inc.,Massachusetts,SNDX,Nasdaq,0.0,1.1,69.4,2016-03-03,10.8,12.0,52.8,Health
Syniverse Holdings Inc,Florida,SVR,New York,118.7,394.3,777.2,2004-11-12,7.1,16.0,281.9,IT
Syros Pharmaceuticals Inc.,Massachusetts,SYRS,Nasdaq,70.0,0.0,3695.8,2016-06-30,8.7,12.5,50.0,Health
Sysorex Global Holdings Corp,California,SYRX,Nasdaq,0.0,0.2,42.3,2013-10-09,8.0,6.0,20.0,IT
